Sample-#, CA-V, CB-V
0.00099,1.9995507,1.859972119
0.000995,1.9995507,1.86496675
0.001,1.999472499,1.868790746
0.001005,1.999472499,1.871834397
0.00101,1.999628782,1.874409795
0.001015,1.999394417,1.876282811
0.00102,1.999628782,1.877843618
0.001025,1.9995507,1.879092216
0.00103,1.9995507,1.880028725
0.001035,1.9995507,1.880809188
0.00104,1.999706864,1.881511569
0.001045,1.999472499,1.882057905
0.00105,1.999628782,1.882369995
0.001055,1.999628782,1.882760286
0.00106,1.999706864,1.883150458
0.001065,1.9995507,1.883306503
0.00107,1.999785066,1.883462667
0.001075,1.9995507,1.883696675
0.00108,1.999785066,1.883774757
0.001085,1.999706864,1.883930802
0.00109,1.999706864,1.883930802
0.001095,1.999628782,1.884008884
0.0011,1.221847534,1.836871743
0.001105,0.216139078,1.545464158
0.00111,0.031812586,1.21714294
0.001115,0.006261606,0.946962774
0.00112,0.002432866,0.7355479
0.001125,0.002120316,0.571660459
0.00113,0.003761204,0.444920808
0.001135,0.005402093,0.347056568
0.00114,0.005480231,0.271668315
0.001145,0.005323955,0.212902933
0.00115,0.00516768,0.167482689
0.001155,0.005245818,0.132207856
0.00116,0.005089543,0.104503073
0.001165,0.005089543,0.083119661
0.00117,0.00516768,0.066574834
0.001175,0.004933268,0.053385787
0.00118,0.005089543,0.043318413
0.001185,0.005011405,0.035358164
0.00119,0.004933268,0.029114833
0.001195,0.005011405,0.024120167
0.0012,0.005011405,0.020296127
0.001205,0.005011405,0.01717446
0.00121,0.005011405,0.01491125
0.001215,0.005011405,0.012882167
0.00122,0.004933268,0.011399376
0.001225,0.005011405,0.010228751
0.00123,0.004933268,0.009136168
0.001235,0.004933268,0.008433793
0.00124,0.004933268,0.00780946
0.001245,0.004933268,0.00734121
0.00125,0.00485513,0.00687296
0.001255,0.005011405,0.006482752
0.00126,0.00485513,0.006326668
0.001265,0.00485513,0.006014502
0.00127,0.004933268,0.005858419
0.001275,0.004933268,0.005702335
0.00128,0.004933268,0.005546252
0.001285,0.004933268,0.00546821
0.00129,0.00485513,0.005390169
0.001295,0.004933268,0.005312127
0.0013,0.78880924,0.050029997
0.001305,1.828351259,0.352831632
0.00131,1.980641365,0.684508681
0.001315,1.995800018,0.952347636
0.00132,1.997909784,1.160250545
0.001325,1.998378634,1.321484685
0.00133,1.998847365,1.44635129
0.001335,1.998925567,1.543044925
0.00134,1.999159932,1.618198991
0.001345,1.999159932,1.676418066
0.00135,1.999316216,1.721604228
0.001355,1.999316216,1.757035136
0.00136,1.999394417,1.78434968
0.001365,1.999394417,1.805655122
0.00137,1.9995507,1.822512031
0.001375,1.999394417,1.835466981
0.00138,1.999628782,1.845612407
0.001385,1.999472499,1.853728771
0.00139,1.9995507,1.859972119
0.001395,1.999394417,1.864888668
0.0014,1.999628782,1.868790746
0.001405,1.999472499,1.871834397
0.00141,1.999706864,1.87425375
0.001415,1.999472499,1.876282811
0.00142,1.9995507,1.877765536
0.001425,1.9995507,1.878936172
0.00143,1.999628782,1.880106807
0.001435,1.9995507,1.880809188
