Time, CA-V, CB-V 
10.053, 4.254, 0.001  
10.094, 4.237, 0.001  
10.100, 4.220, 0.001  
10.104, 4.203, 0.001  
10.148, 4.186, 0.001  
10.152, 4.169, 0.001  
10.199, 4.152, 0.001  
10.203, 4.135, 0.001  
10.214, 4.119, 0.001  
10.246, 4.103, 0.001  
10.252, 4.086, 0.001  
10.300, 4.070, 0.001  
10.308, 4.054, 0.001  
10.313, 4.038, 0.001  
10.351, 4.022, 0.001  
10.357, 4.007, 0.001  
10.404, 3.991, 0.001  
10.410, 3.976, 0.001  
10.416, 3.960, 0.001  
10.452, 3.945, 0.001  
10.458, 3.929, 0.001  
10.463, 3.914, 0.001  
10.504, 3.899, 0.001  
10.510, 3.884, 0.001  
10.556, 3.869, 0.001  
10.561, 3.854, 0.001  
10.566, 3.840, 0.001  
10.617, 3.825, 0.001  
10.623, 3.810, 0.001  
10.659, 3.796, 0.001  
10.664, 3.781, 0.001  
10.669, 3.767, 0.001  
10.710, 3.753, 0.001  
10.714, 3.739, 0.001  
10.761, 3.725, 0.001  
10.766, 3.711, 0.001  
10.772, 3.697, 0.001  
10.812, 3.683, 0.001  
10.817, 3.670, 0.001  
10.863, 3.656, 0.001  
10.868, 3.643, 0.001  
10.874, 3.630, 0.001  
10.915, 3.616, 0.001  
10.920, 3.603, 0.001  
10.925, 3.590, 0.001  
10.971, 3.577, 0.001  
10.977, 3.564, 0.001  
11.017, 3.551, 0.001  
11.023, 3.539, 0.001  
11.030, 3.526, 0.001  
11.067, 3.514, 0.001  
11.072, 3.501, 0.001  
11.121, 3.489, 0.001  
11.127, 3.477, 0.001  
11.131, 3.464, 0.001  
11.170, 3.452, 0.001  
11.176, 3.440, 0.001  
11.221, 3.428, 0.001  
11.225, 3.416, 0.001  
11.231, 3.404, 0.001  
11.274, 3.393, 0.001  
11.289, 3.381, 0.001  
11.316, 3.369, 0.001  
11.320, 3.358, 0.001  
11.335, 3.346, 0.001  
11.372, 3.335, 0.001  
11.380, 3.324, 0.001  
11.384, 3.312, 0.001  
11.427, 3.301, 0.001  
11.432, 3.290, 0.001  
11.476, 3.279, 0.001  
11.483, 3.268, 0.001  
11.487, 3.257, 0.001  
11.530, 3.246, 0.001  
11.537, 3.236, 0.001  
11.581, 3.225, 0.001  
11.586, 3.214, 0.001  
11.591, 3.204, 0.001  
11.636, 3.194, 0.001  
11.641, 3.183, 0.001  
11.681, 3.173, 0.001  
11.687, 3.163, 0.001  
11.692, 3.152, 0.001  
11.732, 3.142, 0.001  
11.737, 3.132, 0.001  
11.742, 3.122, 0.001  
11.784, 3.112, 0.001  
11.788, 3.102, 0.001  
11.836, 3.092, 0.001  
11.843, 3.083, 0.001  
11.847, 3.073, 0.001  
11.890, 3.063, 0.001  
11.895, 3.054, 0.001  
11.950, 3.044, 0.001  
11.962, 3.035, 0.001  
11.967, 3.025, 0.001  
11.989, 3.016, 0.001  
11.995, 3.007, 0.001  
12.044, 2.997, 0.001  
12.050, 2.988, 0.001  
12.054, 2.979, 0.001  
12.092, 2.970, 0.001  
12.099, 2.961, 0.001  
12.146, 2.952, 0.001  
12.150, 2.943, 0.001  
12.154, 2.934, 0.001  
12.195, 2.925, 0.001  
12.200, 2.917, 0.001  
12.205, 2.908, 0.001  
12.243, 2.899, 0.001  
12.248, 2.891, 0.001  
12.299, 2.882, 0.001  
12.306, 2.873, 0.001  
12.311, 2.865, 0.001  
12.348, 2.857, 0.001  
12.355, 2.848, 0.001  
12.399, 2.840, 0.001  
12.404, 2.832, 0.001  
12.409, 2.823, 0.001  
12.450, 2.815, 0.001  
12.456, 2.807, 0.001  
12.502, 2.799, 0.001  
12.507, 2.791, 0.001  
12.513, 2.783, 0.001  
12.552, 2.775, 0.001  
12.558, 2.767, 0.001  
12.603, 2.759, 0.001  
12.615, 2.752, 0.001  
12.621, 2.744, 0.001  
12.648, 2.736, 0.001  
12.652, 2.729, 0.001  
12.666, 2.721, 0.001  
12.702, 2.713, 0.001  
12.708, 2.706, 0.001  
12.757, 2.698, 0.001  
12.762, 2.691, 0.001  
12.767, 2.683, 0.001  
12.807, 2.676, 0.001  
12.812, 2.669, 0.001  
12.859, 2.662, 0.001  
12.865, 2.654, 0.001  
12.869, 2.647, 0.001  
12.913, 2.640, 0.001  
12.917, 2.633, 0.001  
12.967, 2.626, 0.001  
12.972, 2.619, 0.001  
12.978, 2.612, 0.001  
13.023, 2.605, 0.001  
13.034, 2.598, 0.001  
13.039, 2.591, 0.001  
13.066, 2.584, 0.001  
13.073, 2.577, 0.001  
13.117, 2.570, 0.001  
13.124, 2.563, 0.001  
13.129, 2.557, 0.001  
13.168, 2.550, 0.001  
13.174, 2.543, 0.001  
13.221, 2.537, 0.001  
13.225, 2.530, 0.001  
13.231, 2.524, 0.001  
13.271, 2.517, 0.001  
13.285, 2.511, 0.001  
13.321, 2.504, 0.001  
13.327, 2.498, 0.001  
13.332, 2.491, 0.001  
13.371, 2.485, 0.001  
13.376, 2.479, 0.001  
13.425, 2.473, 0.001  
13.431, 2.466, 0.001  
13.435, 2.460, 0.001  
13.475, 2.454, 0.001  
13.480, 2.448, 0.001  
13.484, 2.442, 0.001  
13.526, 2.436, 0.001  
13.530, 2.430, 0.001  
13.576, 2.424, 0.001  
13.581, 2.418, 0.001  
13.587, 2.412, 0.001  
13.635, 2.406, 0.001  
13.640, 2.400, 0.001  
13.679, 2.394, 0.001  
13.683, 2.388, 0.001  
13.688, 2.383, 0.001  
13.731, 2.377, 0.001  
13.736, 2.371, 0.001  
13.780, 2.365, 0.001  
13.785, 2.360, 0.001  
13.789, 2.354, 0.001  
